date,SPY_close,SPY_return,target_offensive_weight,target_weight_source,data_source_timestamp,pinned_research_endpoint,is_out_of_sample_extension,benchmark_update_flag,stream_row_validity_flag,blocking_warnings
2026-05-04,718.010009765625,0.0,1.0,verified_project_generated,2026-05-04,2026-05-01,True,pass,pass,
2026-05-05,723.77001953125,0.008022185884992261,1.0,verified_project_generated,2026-05-05,2026-05-01,True,pass,pass,
2026-05-06,733.8300170898438,0.013899439445017592,1.0,verified_project_generated,2026-05-06,2026-05-01,True,pass,pass,
2026-05-07,731.5800170898438,-0.0030661051573263043,1.0,verified_project_generated,2026-05-07,2026-05-01,True,pass,pass,
2026-05-08,737.6199951171875,0.008256073001242203,1.0,verified_project_generated,2026-05-08,2026-05-01,True,pass,pass,
2026-05-11,739.2999877929688,0.002277585595431564,1.0,verified_project_generated,2026-05-11,2026-05-01,True,pass,pass,
2026-05-12,738.1799926757812,-0.0015149399914519135,1.0,verified_project_generated,2026-05-12,2026-05-01,True,pass,pass,
2026-05-13,742.3099975585938,0.005594848036780231,1.0,verified_project_generated,2026-05-13,2026-05-01,True,pass,pass,
2026-05-14,748.1699829101562,0.007894256268722755,1.0,verified_project_generated,2026-05-14,2026-05-01,True,pass,pass,
2026-05-15,739.1699829101562,-0.012029351892724582,1.0,verified_project_generated,2026-05-15,2026-05-01,True,pass,pass,
2026-05-18,738.6500244140625,-0.0007034356211904624,1.0,verified_project_generated,2026-05-18,2026-05-01,True,pass,pass,
2026-05-19,733.72998046875,-0.006660859382243145,1.0,verified_project_generated,2026-05-19,2026-05-01,True,pass,pass,
2026-05-20,741.25,0.010249028568310337,1.0,verified_project_generated,2026-05-20,2026-05-01,True,pass,pass,
2026-05-21,742.719970703125,0.0019830970699832307,1.0,verified_project_generated,2026-05-21,2026-05-01,True,pass,pass,
2026-05-22,745.6400146484375,0.00393155436839554,1.0,verified_project_generated,2026-05-22,2026-05-01,True,pass,pass,
2026-05-26,750.5900268554688,0.0066386085909901915,1.0,verified_project_generated,2026-05-26,2026-05-01,True,pass,pass,
2026-05-27,750.4600219726562,-0.0001732035840619206,1.0,verified_project_generated,2026-05-27,2026-05-01,True,pass,pass,
2026-05-28,754.5999755859375,0.0055165545026623075,1.0,verified_project_generated,2026-05-28,2026-05-01,True,pass,pass,
2026-05-29,756.47998046875,0.002491392716190699,1.0,verified_project_generated,2026-05-29,2026-05-01,True,pass,pass,
2026-06-01,758.5399780273438,0.00272313559086812,1.0,verified_project_generated,2026-06-01,2026-05-01,True,pass,pass,
2026-06-02,759.5700073242188,0.0013579103629497435,1.0,verified_project_generated,2026-06-02,2026-05-01,True,pass,pass,
2026-06-03,754.239990234375,-0.007017150543661033,1.0,verified_project_generated,2026-06-03,2026-05-01,True,pass,pass,
2026-06-04,757.0900268554688,0.003778686701839007,1.0,verified_project_generated,2026-06-04,2026-05-01,True,pass,pass,
2026-06-05,737.5499877929688,-0.0258093996346227,1.0,verified_project_generated,2026-06-05,2026-05-01,True,pass,pass,
2026-06-08,739.219970703125,0.0022642301373410056,1.0,verified_project_generated,2026-06-08,2026-05-01,True,pass,pass,
